tag,pair,co-frequency,tag-rate(co-frequency/tag),pair-rate(co-frequency/pair)
system,nagios,10,0.010672359,0.15625
development,mail,10,0.010672359,0.15625
web,grafana,6,0.006403415,0.15384616
logging,rsyslog,6,0.006403415,0.15384616
docker,install,9,0.009605123,0.15254237
apache,fpm,7,0.007470651,0.1521739
security,logging,7,0.007470651,0.1521739
monitoring,clustering,18,0.019210245,0.15126051
web,node,8,0.008537887,0.1509434
system,node,8,0.008537887,0.1509434
security,fail2ban,6,0.006403415,0.15
database,oracle,12,0.01280683,0.14814815
development,deploy,12,0.01280683,0.14814815
development,client,10,0.010672359,0.14705883
security,openssh,6,0.006403415,0.14634146
logstash,kibana,8,0.008537887,0.14545454
web,role,9,0.009605123,0.14516129
system,dns,13,0.013874066,0.14444445
monitoring,elasticsearch,21,0.022411954,0.14285715
monitoring,supervisor,8,0.008537887,0.14285715
development,wordpress,8,0.008537887,0.14285715
mariadb,percona,7,0.007470651,0.14285715
system,bind,6,0.006403415,0.14285715
system,sql,25,0.026680896,0.14285715
web,server,29,0.03094984,0.14146341
web,database,83,0.08858058,0.14115646
system,nosql,30,0.032017075,0.14018692
server,application,6,0.006403415,0.13953489
security,pam,6,0.006403415,0.13953489
development,tools,6,0.006403415,0.13953489
cloud,consul,8,0.008537887,0.13793103
apt,packages,8,0.008537887,0.13793103
web,ansible,18,0.019210245,0.13740458
example42,cli,7,0.007470651,0.13725491
development,aws,14,0.014941302,0.13725491
web,sql,24,0.02561366,0.13714285
development,common,14,0.014941302,0.13592233
database,install,8,0.008537887,0.13559322
php,memcached,7,0.007470651,0.13461539
system,database,78,0.0832444,0.13265306
development,fpm,6,0.006403415,0.13043478
system,ldap,6,0.006403415,0.13043478
system,fpm,6,0.006403415,0.13043478
networking,hosts,7,0.007470651,0.12962963
development,role,8,0.008537887,0.12903225
development,server,26,0.027748132,0.12682927
system,jenkins,13,0.013874066,0.1262136
php,apache,20,0.021344718,0.12578617
java,sa,8,0.008537887,0.125
networking,mail,8,0.008537887,0.125
web,oracle,10,0.010672359,0.12345679
networking,security,22,0.02347919,0.12290503
system,percona,6,0.006403415,0.12244898
development,nginx,33,0.035218783,0.12222222
development,ec2,13,0.013874066,0.12149533
networking,consul,7,0.007470651,0.12068965
rhel,package,7,0.007470651,0.12068965
development,consul,7,0.007470651,0.12068965
packaging,apt,15,0.016008537,0.12
users,user,8,0.008537887,0.11940298
ssh,user,8,0.008537887,0.11940298
packaging,yum,13,0.013874066,0.119266056
development,install,7,0.007470651,0.118644066
ruby,install,7,0.007470651,0.118644066
database,client,8,0.008537887,0.11764706
server,client,8,0.008537887,0.11764706
packaging,vagrant,6,0.006403415,0.11764706
puppet,hiera,7,0.007470651,0.11666667
web,monitoring,84,0.089647815,0.11618257
packaging,cloud,53,0.0565635,0.115720525
networking,postfix,8,0.008537887,0.114285715
git,gitlab,6,0.006403415,0.11320755
packaging,role,7,0.007470651,0.11290322
clustering,ec2,12,0.01280683,0.11214953
cloud,agent,14,0.014941302,0.112
ssh,hosts,6,0.006403415,0.11111111
web,java,28,0.029882604,0.10980392
system,graphite,7,0.007470651,0.109375
nosql,clustering,13,0.013874066,0.1092437
system,php,41,0.04375667,0.109042555
networking,ssh,18,0.019210245,0.10843374
system,repo,8,0.008537887,0.10810811
php,wordpress,6,0.006403415,0.10714286
system,redis,15,0.016008537,0.10714286
web,common,11,0.011739595,0.106796116
php,mysql,24,0.02561366,0.10666667
java,tomcat,9,0.009605123,0.10465116
packaging,python,11,0.011739595,0.10377359
yum,package,6,0.006403415,0.10344828
monitoring,client,7,0.007470651,0.10294118
ssh,client,7,0.007470651,0.10294118
web,ruby,19,0.020277482,0.1027027
networking,cloud,47,0.050160084,0.10262009
mysql,backup,7,0.007470651,0.10144927
web,backup,7,0.007470651,0.10144927
system,yum,11,0.011739595,0.10091743
networking,ansible,13,0.013874066,0.099236645
cloud,ansible,13,0.013874066,0.099236645
server,zabbix,10,0.010672359,0.0990099
sql,oracle,8,0.008537887,0.09876543
development,database,58,0.06189968,0.09863946
web,mysql,22,0.02347919,0.09777778
database,server,20,0.021344718,0.09756097
ssh,sudo,6,0.006403415,0.09677419
monitoring,cloud,44,0.04695838,0.09606987
server,nagios,6,0.006403415,0.09375
monitoring,server,19,0.020277482,0.09268293
networking,server,19,0.020277482,0.09268293
agent,newrelic,7,0.007470651,0.09210526
system,composer,6,0.006403415,0.09090909
development,elasticsearch,13,0.013874066,0.088435374
packaging,client,6,0.006403415,0.0882353
development,agent,11,0.011739595,0.088
server,proxy,6,0.006403415,0.08695652
cloud,backup,6,0.006403415,0.08695652
web,redis,12,0.01280683,0.08571429
database,cloud,39,0.0416222,0.08515284
web,nosql,18,0.019210245,0.08411215
monitoring,ec2,9,0.009605123,0.08411215
web,security,15,0.016008537,0.083798885
monitoring,network,8,0.008537887,0.08163265
development,tomcat,7,0.007470651,0.08139535
apache,tomcat,7,0.007470651,0.08139535
ssh,users,6,0.006403415,0.08108108
monitoring,networking,49,0.052294556,0.0805921
cloud,docker,28,0.029882604,0.08
packaging,docker,28,0.029882604,0.08
system,mysql,18,0.019210245,0.08
system,zabbix,8,0.008537887,0.07920792
security,ssh,13,0.013874066,0.078313254
networking,common,8,0.008537887,0.0776699
git,deploy,6,0.006403415,0.074074075
monitoring,example42,7,0.007470651,0.07368421
system,tomcat,6,0.006403415,0.069767445
rhel,firewall,6,0.006403415,0.06896552
monitoring,ansible,9,0.009605123,0.06870229
networking,aws,7,0.007470651,0.068627454
cloud,common,7,0.007470651,0.067961164
packaging,common,7,0.007470651,0.067961164
web,clustering,8,0.008537887,0.067226894
monitoring,security,12,0.01280683,0.06703911
server,postgresql,8,0.008537887,0.0661157
web,python,7,0.007470651,0.06603774
web,ec2,7,0.007470651,0.06542056
development,logstash,6,0.006403415,0.06451613
puppet,agent,8,0.008537887,0.064
packaging,nodejs,9,0.009605123,0.06382979
development,mysql,14,0.014941302,0.062222224
packaging,ansible,8,0.008537887,0.061068702
development,nosql,13,0.013874066,0.060747664
server,ssh,10,0.010672359,0.060240965
php,nginx,16,0.017075773,0.05925926
development,clustering,7,0.007470651,0.05882353
web,jenkins,6,0.006403415,0.058252428
system,rhel,11,0.011739595,0.057291668
cloud,sql,10,0.010672359,0.057142857
server,sql,10,0.010672359,0.057142857
mysql,apache,9,0.009605123,0.056603774
cloud,python,6,0.006403415,0.056603774
cloud,nosql,12,0.01280683,0.056074765
packaging,ec2,6,0.006403415,0.056074765
development,networking,34,0.03628602,0.05592105
rhel,security,10,0.010672359,0.05586592
apt,yum,6,0.006403415,0.055045873
mysql,server,11,0.011739595,0.053658538
networking,rhel,10,0.010672359,0.052083332
monitoring,rhel,10,0.010672359,0.052083332
elasticsearch,clustering,6,0.006403415,0.05042017
system,postgresql,6,0.006403415,0.049586777
development,postgresql,6,0.006403415,0.049586777
packaging,server,10,0.010672359,0.048780486
nginx,ruby,9,0.009605123,0.048648648
web,git,7,0.007470651,0.048611112
development,ssh,8,0.008537887,0.04819277
packaging,rhel,9,0.009605123,0.046875
monitoring,nosql,10,0.010672359,0.046728972
docker,ansible,6,0.006403415,0.045801528
database,ansible,6,0.006403415,0.045801528
monitoring,database,26,0.027748132,0.044217687
development,apache,7,0.007470651,0.044025157
java,apache,7,0.007470651,0.044025157
nginx,server,9,0.009605123,0.043902438
monitoring,php,16,0.017075773,0.04255319
networking,packaging,21,0.022411954,0.042168673
development,monitoring,29,0.03094984,0.04011065
monitoring,sql,7,0.007470651,0.04
database,php,15,0.016008537,0.039893616
packaging,java,10,0.010672359,0.039215688
cloud,security,7,0.007470651,0.039106146
java,server,8,0.008537887,0.03902439
php,server,8,0.008537887,0.03902439
java,ruby,7,0.007470651,0.037837837
networking,nosql,8,0.008537887,0.037383176
cloud,nginx,9,0.009605123,0.033333335
packaging,ruby,6,0.006403415,0.032432433
development,rhel,6,0.006403415,0.03125
cloud,rhel,6,0.006403415,0.03125
cloud,server,6,0.006403415,0.029268293
monitoring,docker,10,0.010672359,0.028571429
networking,nginx,6,0.006403415,0.022222223
networking,database,13,0.013874066,0.022108844
database,packaging,10,0.010672359,0.02008032
packaging,php,6,0.006403415,0.015957447
